total_hits	124812
total_queries	3344
species.level.sp.filter	0
species.level.mt2w.filter	0
species.level.numbers.filter	0
species.neg.filter	0
binned.species.level	251
binned.genus.level	314
binned.family.level	782
binned.htf.level	1976
not.binned	21
